timestamp,city,severity,description,distance
2025-05-07 17:42:42.278525,Unknown,4,Accident,2.75
2025-05-07 17:42:42.278525,Unknown,4,Accident,4.0
2025-05-07 17:42:42.278525,Unknown,2,Accident,3.54
2025-05-07 17:42:42.278525,Unknown,3,Accident,3.26
2025-05-07 17:42:42.278525,Unknown,4,Accident,1.65
2025-05-07 17:42:42.278525,Unknown,4,Accident,3.98
2025-05-07 17:42:42.278525,Unknown,4,Accident,4.8
2025-05-07 17:42:42.278525,Unknown,2,Accident,4.68
2025-05-07 17:42:42.278525,Unknown,2,Accident,2.34
2025-05-07 17:42:42.278525,Unknown,4,Accident,1.72
2025-05-07 17:42:42.278525,Unknown,3,Accident,2.79
2025-05-07 17:42:42.278525,Unknown,2,Accident,3.92
2025-05-07 17:42:42.278525,Unknown,1,Accident,3.7
2025-05-07 17:42:42.278525,Unknown,2,Accident,2.32
2025-05-07 17:42:42.278525,Unknown,4,Accident,2.85
2025-05-07 17:42:42.278525,Unknown,4,Accident,2.27
2025-05-07 17:42:42.278525,Unknown,3,Accident,1.24
2025-05-07 17:42:42.278525,Unknown,3,Accident,4.2
2025-05-07 17:42:42.278525,Unknown,1,Accident,3.46
2025-05-07 17:42:42.278525,Unknown,4,Accident,2.31
2025-05-07 17:42:42.278525,Unknown,2,Accident,3.87
2025-05-07 17:42:42.278525,Unknown,1,Accident,1.59
2025-05-07 17:42:42.278525,Unknown,4,Accident,0.27
2025-05-07 17:42:42.278525,Unknown,2,Accident,1.16
2025-05-07 17:42:42.278525,Unknown,1,Accident,2.18
2025-05-07 17:42:42.278525,Unknown,1,Accident,3.19
2025-05-07 17:42:42.278525,Unknown,3,Accident,2.93
2025-05-07 17:42:42.278525,Unknown,2,Accident,4.37
2025-05-07 17:42:42.278525,Unknown,4,Accident,4.8
2025-05-07 17:42:42.278525,Unknown,2,Accident,2.66
2025-05-07 17:42:42.278525,Unknown,3,Accident,3.07
2025-05-07 17:42:42.278525,Unknown,3,Accident,2.1
2025-05-07 17:42:42.278525,Unknown,3,Accident,0.76
2025-05-07 17:42:42.278525,Unknown,1,Accident,3.3
2025-05-07 17:42:42.278525,Unknown,1,Accident,2.36
2025-05-07 17:42:42.278525,Unknown,3,Accident,0.56
2025-05-07 17:42:42.278525,Unknown,3,Accident,4.53
2025-05-07 17:42:42.278525,Unknown,1,Accident,4.1
2025-05-07 17:42:42.278525,Unknown,3,Accident,3.43
2025-05-07 17:42:42.278525,Unknown,1,Accident,1.6
2025-05-07 17:42:42.278525,Unknown,4,Accident,0.48
2025-05-07 17:42:42.278525,Unknown,1,Accident,4.74
2025-05-07 17:42:42.278525,Unknown,2,Accident,1.5
2025-05-07 17:42:42.278525,Unknown,4,Accident,0.99
2025-05-07 17:42:42.278525,Unknown,1,Accident,3.39
2025-05-07 17:42:42.278525,Unknown,4,Accident,0.86
2025-05-07 17:42:42.278525,Unknown,1,Accident,1.32
2025-05-07 17:42:42.278525,Unknown,4,Accident,0.17
2025-05-07 17:42:42.278525,Unknown,2,Accident,2.28
2025-05-07 17:42:42.278525,Unknown,2,Accident,1.69
2025-05-07 17:42:42.278525,Unknown,1,Accident,0.2
2025-05-07 17:42:42.278525,Unknown,3,Accident,1.3
2025-05-07 17:42:42.278525,Unknown,1,Accident,1.76
2025-05-07 17:42:42.278525,Unknown,3,Accident,2.37
2025-05-07 17:42:42.278525,Unknown,3,Accident,4.81
2025-05-07 17:42:42.278525,Unknown,4,Accident,1.67
2025-05-07 17:42:42.278525,Unknown,4,Accident,4.28
2025-05-07 17:42:42.278525,Unknown,1,Accident,2.22
2025-05-07 17:42:42.278525,Unknown,2,Accident,4.55
2025-05-07 17:42:42.278525,Unknown,3,Accident,1.74
2025-05-07 17:42:42.278525,Unknown,3,Accident,2.77
2025-05-07 17:42:42.278525,Unknown,4,Accident,3.69
2025-05-07 17:42:42.278525,Unknown,3,Accident,4.19
2025-05-07 17:42:42.278525,Unknown,2,Accident,3.13
2025-05-07 17:42:42.278525,Unknown,2,Accident,4.07
2025-05-07 17:42:42.278525,Unknown,2,Accident,3.68
2025-05-07 17:42:42.278525,Unknown,2,Accident,2.14
2025-05-07 17:42:42.278525,Unknown,2,Accident,0.55
2025-05-07 17:42:42.278525,Unknown,2,Accident,1.79
2025-05-07 17:42:42.278525,Unknown,4,Accident,3.0
2025-05-07 17:42:42.278525,Unknown,4,Accident,1.04
2025-05-07 17:42:42.278525,Unknown,2,Accident,0.63
